listing_id,comments,keywords,sentiment
2026794,"Our host Sheryl was very welcoming and provided everything we needed. (Plus a couple of small things we forgot to pack.) The room is just as shown in the listing, and the neighborhood is calm, quiet, pedestrian friendly, and close to several bus lines. Sheryl asked about our interests in Seattle, then researched those things and provided us with lots of information and options that allowed us to maximize our time in Seattle. In particular, she discovered a couple of promotional events surrounding the soccer game we came to see, so we got to participate in two events that we didn't know about. That worked out superbly! She also provided great public transportation info, along with advice on how to use the buses efficiently. And she found us some very nice money-saving deals on tourist activities. The house was built a long time ago, and it has various long-term renovation projects underway. As shown in the photo, there is a tall stairway to the front door and there are two turns in the stairs to the bedrooms. For this reason, Sheryl's rooms are not ideal for someone who is elderly or has physical disabilities. Our visit couldn't have been much better, and we really appreciated having our room for such a reasonable price in such a convenient location. We definitely recommend Sheryl's cozy cottage!","stair, elderly",Negative
2760312,"The place is very nice, tastefully decorated and very clean. The shower in particular was a joy - instant-on hot water and two shower heads. It was great. <br/>I?Âd heard there was a gym, but didn?Ât see it. Wouldn?Ât have had a chance to use it if I had. <br/>Be aware that you have to ascend/descend a rather steep inside staircase to get to the property. For people with a disability or heavy luggage, it might be an issue. <br/>Overall, a lovely property.","stair, disability",Negative
3379116,"This was our first airbnb experience and it couldn't have been more perfect!  We loved the carriage house! The location was perfect, the entire carriage house was immaculate and Jill has thought of everything a guest could possibly need! Laundry soap, dryer sheets, shampoo, conditioner, lotion, iron, books, games and so much more!<br/>Even though we only live across the Puget Sound from Seattle we needed a place in Seattle proper for our daughters wedding weekend of festivities.  We had 2 of our son's and their wife/girlfriend staying with us from out of state. Jill let us check in early and was very responsive to all communication throughout. <br/>The house is right by the freeway so it is a bit noisy but that is city living. Jill provides sound machines and ear plugs (none of us needed them).  It's is beautifully decorated and bigger than it looks in the pictures. <br/>The parking is street parking and can be a bit difficult to find an open spot at times. However we never had to park more than a block away. If you have elderly or disabled people in a group you can pull into the alley right in front of the door to drop off and pick them up.<br/>We had many family members come and hang out with us at various times in the 4 days we were there. Everyone fell in love with it.<br/>It was a wonderful experience and we highly recommend this place and Jill!","disabled, elderly, big",Positive
4100009,"I stayed here with my mother and grandmother while visiting my brother.  We found the space to be simply furnished with all the essentials.  We found the space cute, inviting and comfortable.  The host was friendly and accommodating where possible - quick to respond/answer questions.  The location was perfect for us - close to where we were going.  We felt the unit was very fairly priced.  There is no dedicated parking (slight inconvenience for my disabled mother and elderly grandmother) but I found no trouble finding street parking within a 1 to 2 block radius.  We would have liked to have a TV for mornings/late night, but really appreciated the shareable laundry room.","disabled, elderly",Negative
4881141,"Easy Uber ride to the best local beach area! I have mobility issues and while this would not be the place to stay if you were in a wheelchair, it was fine for me. There are some stairs to navigate, but I think most houses in the area would be the same. You do need to be able to climb a few stairs and walking to the beach isn?Ât impossible, the walk back up the hill is very steep! Uber is ready, available and cheap! ","wheelchair, stair",Negative
4956314,"Fern is a great and responsive host. She made my partner and I feel super welcome and even went so far as to accommodate around my partner?Âs disability. Save for some sound traveling from upstairs during the day (this is a basement after all) the space was quiet, peaceful and just what we needed for a quick visit to Seattle without actually being in the thick of it.","stair, disability",Positive
5362889,"Great place! My parents are new to Airbnb and showed up pretty early, but the host was so kind and accommodating. The place was cute, comfortable, and clean! Comfy beds (one of the most important aspects for me) and soft bedding. Bathroom and kitchen floors were clean, as were tubs and sinks. The location is great, the base of the space needle is maybe 2 blocks away. Lots of restaurants in walking distance (and that's walking distance for a disabled person, which is huge!). Stay here with confidence.","disabled, tub",Positive
6101613,"It was a good space and a good place for my family to meet stay while we did activities around Seattle. I would have to say it's nothing super special, but it nicely housed the number of people as advertised and had space for us to have dinner and hang out a little.<br/>Not a great place if you have people who might not be fully ambulatory (elderly who walks with cane assistance for example) due to stairs, tight parking, furniture that is very low and hard to get out of.","stair, elderly",Negative
6245498,"It was great!  The house is older but it?Âs got some classic charm. My only complaint would be in the bathroom.  The toilet is very low to the ground, my husband is slightly disabled and could not get up on his own. Too low.",disabled,Negative
6438518,"We had a short two night stay for a wedding in Woodland Park.  The design and furnishings are nicely done with high end finishes.   The couch is comfortable (albeit not long enough for a nap).  The bedrooms are well separated for privacy.  The mattresses seem new and we slept well.  <br/><br/>Even though this is a basement conversion the windows provide sufficient light and cross ventilation.  It doesn't feel like a basement.  <br/><br/>The location is perfect.  We walked to breakfast and lunch on Fremont and had a nice time reading in the rose garden just across the street (free).  There is a gas station just down the street and easy access to the freeway.  I have a disability and can't walk very far, otherwise it would have been great to go through the park over to Green Lake. <br/><br/>Parking is on the street.  We found places right in front most of the time.  ",disability,Neutral
6438518,"This is a great place to stay long or short term. This basement apartment was in a great location in Seattle. Aurora Ave is a main road and this home is located just a couple blocks away. There is a market just a couple blocks away. It?Âs right next door to one of the Zoo entrances. Door access was convenient and it was nice not having to carry a key around. The back yard where you enter is beautiful, lots of flowers and a nice place to relax outside.<br/>Street parking was only option but worked out fine. A lot of free parking on Sundays for other attractions too. <br/>Front room was comfortable, along with the 2 beds and pillows. Seating only has enough for 3 people, unless you use the 2 kitchen chairs as well, which are on the smaller side. <br/>Bathroom is spacious and the water pressure was great!! There is no A/C and we expected the weather to be around high 70s and it ended up being in the high 90s, so that part was rough!<br/>I am 6 feet tall and had a rough time with the height of the ceilings and the mirrors. <br/>Overall the host was wonderful, very communicative and helpful. My daughter is disabled and while the door entry was a tight squeeze she was able to get down easily and get around great! Thank you!","disabled, spacious",Positive
6706377,"Nice clean place; good for quick business trips etc. The stairs to the attic bedroom are steep and suit younger to middle aged folk, it would be hard for elderly. Decent kitchen.","stair, elderly",Negative
6991188,"Ron's place is located in an awesome neigborhood that is scenic, quiet and is in close proximity to all the major buses. The flat is beautiful and well-maintained, and maintains a cozy, welcoming appearance for all new guests. Ron provides useful household items in order to make your stay comfortable and relaxing. He is also very helpful with any questions you may have about the flat or the city.<br/>The main bedroom contains a smart TV that allows you to enjoy YouTube or Netflix, as well as other networks. The bed was comfortable and large enough for two guests. The bathroom has a washer and dryer, which is extremely useful for tourists. Ron also has all the cleaning and hygiene supplies you will ever need, which saved us money and time. Overall, this flat is spacious and creates a positive atmosphere.<br/>Other comments and concerns: the flat is located on the second floor and contains steps that lead to the entrance, so if you have heavy/multiple luggages and/or a disability, it may be difficult to carry your items to and from the flat. If that is not a concern to you, please disregard the comment. In addition, the lock to the door is a bit confusing and caused us some issues when he had first arrived (these locks are not used everywhere), but Ron will be there to assist you in case of any problems or confusion. <br/>Overall, our trip was very relaxing and welcomed us to the city of Seattle. We suggest to anyone visiting the beautiful city to stay at this flat.","step, disability, large, spacious, tub",Negative
6991188,"Ron has a spacious and clean flat as advertised. He was an excellent host and welcoming. He met us when we arrived, showed us the place, and answered all of our questions about the area. Would definitely recommend the place family and friends. The stairs are a little steep to get up the apartment so probably wouldn't be the best for small children or the elderly.","stair, elderly, spacious",Negative
7275464,It was amazing staying at Bobby?Âs place after getting away from an unsafe housing situation due to mold. I have a lot of allergies due to illness and my body felt really good in the space. <br/>Bobby was incredibly helpful and accommodating. I have an invisible disability and often I have to get things delivered and cook most of my own food. Bobby was very helpful with this and let me know when packages came as well as letting me use his freezer and space heater. Very responsive as well.,disability,Positive
7349029,"The space was easy to access with directions being given by Ron in advance.  The private entry and privacy was nice, although, at times it felt less than private.  Particularly during a Friday night party that was held in the main home. There was a lot of noise well past the designated ""quiet hours"" for guests.  We had a long, busy day of site seeing and simply wanted to watch a Netflix movie and relax that evening.  The party made that impossible.  Everything else about the space was what we expected. The driveway has quite an incline though and persons with any kind of disability would have trouble with it.  ",disability,Negative
7871885,"This was a cozy mother-in-Law cottage in the back of a beautiful home in a beautiful neighborhood, with plenty of free street parking. However, if you have a disability, the entry probably wouldn?Ât be convenient as there are stairs and a narrow path into the back yard. <br/>The unit itself is basically an efficiency apartment with a small bathroom and queen sized bed. This set up was all my partner and I needed, being that we spent most of our days venturing about town. <br/>The unit was clean with all of the amenities you would need such as a refrigerator, dishes, a closet, towels, and a handy basket of toiletries. <br/>The only flaw about this unit is the temperature regulation. The unit gets hot and the fan doesn?Ât do much to cool the unit. Plus, the fan has a slight rattle in the night. So, if you?Âre a light sleeper you might find the noise bothersome. <br/>In all, I very much enjoyed my stay.","stair, disability",Negative
7873789,Great value for this large and homey downstairs space. Parking was easy and it would have been a good fit for my wheelchair bound husband had he not been hospitalized! Great communication and kind hosts.,"wheelchair, stair, large",Positive
8106157,"Look NO further, this is the very BEST place to stay. Clean, sunny, well equipped and walking distance to any and everything you could ask for in Ballard! (Note: Not recommended for anyone with extreme disability, due to ladder access to sleeping balcony area) Use their recommended driver, Aki, for a pickup or transfer to the airport or cruise terminal, he's also the BEST. Enjoy!!!",disability,Negative
8780358,"Bo and Regina?Âs space is lovely. The apartment is part of a much larger home and is in a quiet neighborhood. Parking is available all along the street which is nice. The gas fireplace is also a nice touch, especially in winter. We also appreciated the private entrance, however the lighting at night wasn?Ât great and if you have any sort of disability, the stairs might be a challenge. The other thing to note is this is a family with 3 young children and a dog, so it would be recommended that you have earplugs handy, not to mention the for the garbage trucks early in the morning. If that?Âs not a problem for you, I would recommend staying. They are very responsive with questions and concerns. It?Âs a beautiful home in great suburban neighborhood of Seattle.","stair, disability, large, lighting",Negative
8941541,"Quiet neighborhood with a perfect space to get away after being a tourist all day. Spacious, clean and well thought out as it has everything you will need besides your clothes and your food. Tri was super responsive and helpful. We will be back for sure. Just a quick note, if you have issues climbing stairs, this may not be for you. (thinking elderly, or physically challenged here). There is a steep staircase up to the apartment. <br/>Oh one more thing...check out the restaurant Nue right nearby. Amazing food and super close (besides all the other restaurants around!)","stair, elderly, spacious",Negative
10125020,"Apartment was awesome! Made for a great ?Âmeet up??location for my group. Super great location right in Pioneer Square. Swanky accommodations with a lot of character. Really enjoyed the ?Âhistory lesson??on the building. The entrance is a walk-up right off of 1st Ave - would be difficult for wheelchair, etc. Loved that there were cafes, pubs, restaurants all within 2 min walk. Parking lots and paid street parking close by.",wheelchair,Negative
10252909,Overall the place is very nice great location and quiet.  Bedrooms are on the upper floors with lots of stairs keep in mind for someone that may have a disability.,"stair, disability",Negative
10263907,"We really enjoyed how the place was set up. It was like having our own little apartment hotel! It was especially helpful to have a guaranteed parking spot. In Seattle that's something not very common. Being disabled, that's very important, plus it's often raining and not all areas of Seattle is it safe to leave your vehicle when it's full. We felt very safe there! I was impressed with the attention to detail. It was exactly like the photos, very clean, and quiet and cozy. The bed was actually pretty comfy, too! We only stayed the one night and were not there for exploring. We had a Comic Convention to go to for a day, so it was a rather quick trip, but I would highly recommend this place!",disabled,Positive
11525992,"This beautiful home offered everything my parents needed for a comfortable stay!  The rooms are large and comfy and everything was very clean. The large fenced backyard is perfect for a dog. The home is in super quiet neighborhood and is close to everything, especially my favorite coffee shop, Lighthouse. My parents had a long stay and Maria ensured they had supplies and everything they needed. Maria was very responsive and checked in throughout the stay. Also, the beds are super comfortable which was a huge plus for my elderly parents. Highly recommend!","elderly, large",Positive
12573882,"This is a Karen y'all. I didn't feel welcome or safe staying with Sabina-- Airbnb agreed and helped me cancel the booking. <br/>When I booked, I specifically mentioned I would bring my certified service dog. Airbnb's policy does not require guests do this, but I did it out of respect. She didn't respond with any welcome msg. I had to follow up 48 hrs before my arrival and she replied by giving me grief for bringing a ""pet"". I told her that by the ADA regulations and Airbnb's policy, a service dog is not considered a pet. She then rudely insinuated I would be unable to prove I need a service dog. I replied with the several tasks that my dog performs for me, but given her tone and clear discomfort with us staying, offered that she could cancel our reservation. She then insisted that my disabilities were not disabilities but refused to cancel the reservation on her end because she wanted my cancellation charges. <br/>It is absolutely unacceptable she thinks she has the right to judge anyone's disabilities. The ADA is federal law that defines what a disability is and it certainly isn't within one random Karen's purview to decide what qualifies as a disability. How could anyone possibly feel comfortable staying there after this host's horrible and inhospitable attitude? <br/>Airbnb is supposed to be about community, but she's clearly more interested in profit than actually being a welcoming host.",disability,Negative
13082625,"Came for daughter's wedding with family and friends. Location in or near University district. Great place, clean, comfortable beds, nice kitchen, plenty of room, huge bathtub with view in second floor BR, impressive views from living room and bedrooms (easterly=sunrises). Only place I found with ground floor bedroom and bathroom suitable for elderly who are stair challenged. No ramp, but level access from driveway to entrance with 3-4 easy stairs on front porch to front door which opens onto ground floor. Onsite parking for one car a real asset given area. Andrew great host, very responsive to questions. Highly recommended.","stair, ramp, elderly, tub",Positive
13390576,Easy check in.<br/>Near grocery stores and downtown Renton. Columbia City is a fun town to visit.<br/>Seward Park is close and a great place to have a picnic.<br/>Many steps. Not a great place for elderly with mobility issues.<br/>Otherwise a beautiful newer home and great location.,"step, elderly",Negative
14103694,"Aaron's place is fantastic. It feels much bigger in person than it looks in the pictures. Everything is clean and fresh and very comfortable. My elderly parents stayed here for 10 days and the space was perfect for them. The space is well appointed and has everything you could need, and Aaron is very responsive to any questions. We'd love to stay here again!","elderly, big",Positive
14872823,"Overall, it was an okay stay. The house was very clean and cozy. My only issue was during check-in. There were obvious instructions to follow. But when I arrived, (on time, just after 3) the door was open, and there were items in the walkway. There was no response when I said hello, so my guest and I continued on with the check-in process and left for our event. Soon after, I received a message from Alexis saying that she thought we were intruders since we didn't announce our arrival. We never received any notice that she'd be on her way out at our check-in time. She also didn't make an attempt at welcoming us as guests in her home. She chalked it up to our safety as a traveling woman and said we shouldn't have checked in without notifying her. Even though we followed the instructions exactly. As soon as I responded to explain the situation and apologized for the misunderstanding, she disabled the messaging feature, and I had no other way of contacting her for the rest of the stay.",disabled,Neutral
14917821,"Lara?Âs place was exactly as described, clean, roomy and comfortable, perfect for our 2 month summer getaway!  Would definitely stay again if in Seattle.  One thing of note is it is up a steep driveway then stairs up to the Nest.  Not a problem for us, but our elderly dog struggled a bit.","stair, elderly",Negative
15111676,"Our stay at Darren's home was very pleasant.  Bright and sunny.  Spacious.  The bed in the master was awesome as were the pillows.  Great location.  Walk to the beautiful park, restaurants was very nice.  Will say, your view of the Green Lake isn't big.  More of a peak.  But it prompts the walk!  Parking was usually available.  Best for smaller to mid size vehicles.  The path to the back is a bit precarious (slanted and narrow).  Would be a concern if someone were to have a disability.  Just be careful:)!!  Quiet street.  Near son's new home.  Would certainly consider returning.  Thank you Darren for you quick responses and providing this beautiful home away from home.","disability, spacious, big",Negative
15221864,"This place is in a great location! It?Âs very close to bars and shops. Emily was great to coordinate with. The shower would be difficult to use for anyone who has a physical disability. It?Âs difficult to get in and out of. But, everything else was great! It was our first Airbnb experience, and we will definitely continue to use Airbnb when we travel.",disability,Negative
15790340,Very helpful.  Went out of his way to help us find a way to get into the building without having to use stairs for my father-in-law who is in a wheelchair .  He even came in and helped us make the couch bed!   Thank you,"wheelchair, stair",Positive
15792703,"We had a wonderful time at Owen's tiny house! There was plenty of space for the three of us and we loved the decor of the home. We loved the view as well - beautiful sunsets! Owen was prompt in responding and had very clear instructions of how to access the house. It was very nice to have parking included as well. Just a heads up if you have any mobility concerns: the stairs are very steep and narrow. I'm pregnant and it was difficult for me to get up and down the stairs. There are several hand rails to help and the other two adults I was with didn't have any issues. Thanks again for a great stay, Owen! Would definitely stay again!",stair,Negative
15885497,"This place was great for our quick overnight in Seattle! The availability of feee road parking was wonderful. The road the home is located on is quite steep, which did make it a tad more challenging but not too bothersome. <br/>If you have mobility issues this is NOT the place for you as the sidewalks and stairs are uneven. Also, the interior floor is quite hard so bring a pair of indoor shoes or slippers. <br/>The bedroom was comfortable and clean and we slept very well. <br/>While not disturbing, we did notice thumps and bumps and the occasional loud yell during day hours. Again, this didn?Ât bother us all all!<br/>The breakfast snacks and coffee items provided was a nice touch as well as the helpful binder! <br/>Wifi worked great!",stair,Negative
15885497,Secluded spot and comfortable sleeping.  Great water pressure in the shower.  Big TV with Roku.  It is a basement unit and is an older home.  Pete was very responsive. He has a lovely air purifier to keep the air fresh.  There are steep stairs so if you have limited mobility this isn't the place for you.  The street parking is very steep.  A lovely park is just around the corner.,"stair, big",Negative
15929975,"This place was way better than what we expected. It was a very modern home which came with all the amenities . The hostess was quick to respond to our inquiries. <br/>We came during spring break and weather was a bit cold so it was nice to come back to a beautiful, clean, and cozy place after a long day of visiting colleges with my kids and turn on the fireplace while we relaxed.<br/>They also provided a basket of goodies including 2 bottles of red and wine , freshly baked cookies , lollipops , popcorn , Nutella and fruits . The place came stocked with coffee/tea, eggs , muffins, butter , and basic cooking ingredients.<br/> Everything was nicely labeled throughout the house and they had a binder of laminated information of things to do in Seattle and places to eat  much like a resort hotel. <br/>The drive was about 25 minutes to downtown Seattle. The place was a short distance to ferry landing.<br/>I look forward to staying at this place in the summer so my family and can sit outside enjoy the view of Puget Sound or take a ferry. <br/>The only issue I had was the cleaning fee of $150 for entire stay was a bit high considering we were asked to remove all the pillow cases and duvets off the comforter ourselves and asked to throw the garbage outside . We also gathered all the towels and placed them in the hamper, cleaned and wipe down the place . <br/>Note for disabled : There are 2 entrances to the place . You have to drop off your family /luggage?Âs on the back part of the house and then come back down to front of  the house to park your car . There is approximately 25 steps to take up towards the front of the house where you have to open the gate to get to the front door.  I didn?Ât see a wheelchair ramp for those who may need it .","wheelchair, step, ramp, disabled",Negative
16218478,"The location is right around the corner from a bus stop that can go to a nearby light rail station (to get to the airport) or Pike place. It's about 7-8 blocks from the Broadway area, which is a really nice area with good restaurants, bars, a nice park and thrift shops and alternative clothing stores. Very queer friendly.<br/>Tri is very accommodating and responsive and offers a wonderful apartment. It's secure, though as it is at the top of 2 flights of stairs and at the end of the hallway, it's not very accessible if someone has a disability. This wasn't an issue for us, but I wanted to state it for anyone needing to know. The furniture is nice (Ikea) and functional. The apartment is simple and uncluttered, with plenty of space for storing luggage. The kitchen is tight, so maybe not best for someone who intends to do a lot of cooking, but perfectly fine for basic breakfasts or making coffee/tea or what have you. The couch is super comfy (pulls out), and I'm told the bed was good too.<br/>The apartment is in a neighborhood with some life at night. Normal for a city (I think), especially on the weekends, but was a bit much for one of my more noise-sensitive friends. I slept through it. The nightlife is only a few blocks away, completely within walking distance at night. <br/>Overall a great stay! Highly recommend.","stair, disability, accessible",Negative
17610590,Amazing views!  Beautiful modern and clean town home was comfortable for our family of six.  Close to attractions.  LOTS of stairs; home is on 3 levels and deck is on 4th level so might not be good for young children or elderly.  Driveway and parking space are very narrow.,"stair, elderly",Negative
17878829,"A fantastic location, just can't be beat - right next to the convention center and mere blocks from the center of it all.  Great apartment, stocked fully for a very comfortable stay.  Only heads up to families with strollers or anyone in wheelchair is that there are a few steps (4-5 steps) to climb up on to get to the front door, we didn't see a ramp anywhere (not a big deal with a stroller, but may be a bigger issue with a wheelchair).  Lots of nice touches in the apartment to create a comfortable stay.  Don't hesitate as to the location, it is perfect. ","wheelchair, step, ramp, big",Negative
18097851,"Excellent place and host, well furnished, equipped, and maintained; highly recommend it - comfortable.  Please be aware that it's a tri-level house (if you have elderly or folks who would find it difficult to climb up stairs).","stair, elderly",Negative
18358544,"My husband has a physical disability and uses a walker. The apartment was very user friendly for him. Wide doors , level floors, a shower seat, and a level entrance.",disability,Positive
19229958,"Great place for a medium term stay. No stairs at all, so it was especially fantastic for my elderly parents. Hailey and Dave were super communicative too, so A+ for that.","stair, elderly",Positive
20425984,"The description is accurate. Chima is a great host and communicates clearly. This was my first time staying, I would recommend it. The only hang-up might be wheelchair accessibility, but Chima would probably accommodate such a request.",wheelchair,Negative
20948220,Great host! Easy to communicate about disability accommodation needs with and is mindful of COVID safety. Space was clean and cozy. Would book with again in the future.,disability,Positive
21199701,"Sam's place was great over the holiday. Close to an upscale grocery/deli, a butcher, nice restaurants and gift stores.  One level, giant TV's and off street parking was a bonus for disabled husband. Kitchen could have had a few more items  but worked well for our group.  Excellent and super friendly communication. Hope to be back.",disabled,Positive
21368342,"My parents came to visit me in Seattle so I set them up at Liang's place due to the proximity. I live in downtown Ballard and it was a leisurely 15 minute walk there. The place was very clean and cozy and my parents reported that the bed was very comfortable. No A/C (standard for thid part tof the country) but the windows and subterranean level of the place left us comfortably cool enough. Liang's dog would bark when we entered (as described) but only for a sec (good watch dog!) :) The only trouble we had was due to my dad's poor eyesight... The pathway to the side where you enter is a bit uneven -- as is every sidewalk in the city, I quickly came to notice-- so elderly or disabled guests may need to be cautious, esp in the dark. Overall a great value in such a cute neighborhood.","disabled, elderly",Negative
21382950,"Very quiet and beautiful neighborhood, has a relaxed home feeling.  Great location easy to get anywhere you need to get.  Very clean and has everything you need.  <br/>   Having a disability was very easy for me to get in and out of.  <br/>I really enjoyed staying here, It felt like home to me and I would stay here again and again.  Wonderful hosts make you feel at home.",disability,Positive
22451351,"My partner and I had a lovely stay at the Oasis. The bathtub is great for soaking. The bed has a very comfortable medium firm mattress. <br/>Accessibility info: I use a 26??wide manual wheelchair, and was able to navigate the inside of the unit just fine. The bathroom door is 30??wide and the door to the entrance is 36??wide. There is a pretty steep incline down a paved walkway to get to the unit.  I needed help from my partner to navigate it.","wheelchair, tub",Positive
22799854,"Single room with adjacent room likely rented out to another guest. This means up to 4 people are using one small bathroom and shower, making morning coordination difficult. Also, the room was listed as wheelchair accessible with a large bathroom entrance and zero step entryway, but the bathroom was not large enough for a wheelchair. The entrance to the apartment required a small 2-3 inch step, a steep ramp, and having to traverse both grass and gravel which would be difficult for other wheelchair users.","wheelchair, step, ramp, accessible, large",Negative
22904624,"I enjoyed staying here okay... it was a decent deal for a private space and generally quiet and cozy. The host gave clear check in info, was responsive prior to my arrival & offered himself available in communicating & told me to let him know if there was anything missing, however I really hoped to find a space that didn't have any major issues because I was traveling for business and didn't have a lot of time to communicate back & forth. There was maintenance issues (shower wasn't working properly when I got there & I couldn't shower - had to use another space next door until it was fixed) & the wifi was unstable as well as a very sensitive smoke alarm that went off every time I cooked that made my stay stressful as someone with a disability. For folks who are wanting a fully equipped kitchen to prepare food, this space has some cooking supplies but the minimum; some things were missing to make it possible to prepare full meals. Host was generally responsive, dropped off later on.",disability,Neutral
23060625,"Shirley was a fantastic host.  She was always responsive.  The condo was in a perfect location, once we found it?ÂÂ.  The ongoing construction made it difficult to get to the front desk to check in.  But once inside, it was terrific.  We would definitely stay there again.  One caution for anyone with a mobility issue.  I sprained my ankle the weekend before our stay.  The distance from the parking space to the condo is really far on crutches.  We ended up renting a wheelchair, and that made all the difference!",wheelchair,Negative
